key,entry_type,title,authors,container_title,publication_year,doi,stable_identifier,source_url,local_pdf_path,local_markdown_path,conversion_status,access_status,relevance,verification_notes,pdf_sha256,pdf_pages,markdown_pages,text_characters
kopal1950limb,article,Detailed effects of limb darkening upon light and velocity curves of close binary systems,"Kopal, Zdenek","Harvard College Observatory Circular, 454, pp. 1-12",1950,,project-bibkey:kopal1950limb,,data/papers/kopal1950limb.pdf,data/papers-md/kopal1950limb.md,validated,local_pdf,"Direct: limb behavior, vertical structure, or line-of-sight interpretation.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 12 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,7df9b4055656d8eef73c77476fe9741d412f24080e17867d71537cb61b1d5504,12,12,29108
bazzon2014HST,article,HST observations of the limb polarization of Titan,A. Bazzon and H. Schmid and E. Buenzli,arXiv: Earth and Planetary Astrophysics,2014,10.1051/0004-6361/201323139,doi:10.1051/0004-6361/201323139,https://doi.org/10.1051/0004-6361/201323139,data/papers/bazzon2014HST.pdf,data/papers-md/bazzon2014HST.md,validated,local_pdf,"Direct: limb behavior, vertical structure, or line-of-sight interpretation.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,e8c8566d296299481fddcfed5230f9351153e5741ee2afb450501c931c669706,13,13,92225
neilson2011comparison,article,Comparison of Limb-Darkening Laws from Plane-Parallel and Spherically-Symmetric Model Stellar Atmospheres,H. Neilson,Proceedings of the International Astronomical Union,2011,10.1017/S174392131102744X,doi:10.1017/S174392131102744X,https://doi.org/10.1017/S174392131102744X,data/papers/neilson2011comparison.pdf,data/papers-md/neilson2011comparison.md,validated,local_pdf,"Direct: limb behavior, vertical structure, or line-of-sight interpretation.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,8c9909eb6f8dfbf5a936d0b829fb8bd3eb3ce48a56471c3dab66520e0aafd2e0,4,4,17256
vinatier2015seasonal,article,Seasonal variations in Titan’s middle atmosphere during the northern spring derived from Cassini/CIRS observations,Sandrine Vinatier and Bruno Bézard and Sébastien Lebonnois and Nick A. Teanby and Richard K. Achterberg and Nicolas Gorius and Andrei Mamoutkine and Ever Guandique and Antoine Jolly and Donalds E. Jennings and F. Michael Flasar,Icarus,2015,10.1016/j.icarus.2014.11.019,doi:10.1016/j.icarus.2014.11.019,https://doi.org/10.1016/j.icarus.2014.11.019,data/papers/vinatier2015seasonal.pdf,data/papers-md/vinatier2015seasonal.md,needs_review,local_pdf,"Direct: CIRS limb retrievals of seasonal temperature, gas, and aerosol structure.",The local PDF has corrupt compressed streams and renders as blank pages with Poppler; replace only after preserving this file and checking a lawful copy.; Page count matches; 21 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,0016d500ebc328c7f2c117400add17482a3988de38230cafc96705675b6adf5d,21,21,0
neilson2018limb,article,Limb darkening and planetary transits II: Intensity profile bias factors for a grid of model stellar atmospheres,H. Neilson and J. B. Lester and F. Baron,Astronomy & Astrophysics,2018,10.1051/0004-6361/201833635,doi:10.1051/0004-6361/201833635,https://doi.org/10.1051/0004-6361/201833635,data/papers/neilson2018limb.pdf,data/papers-md/neilson2018limb.md,validated,local_pdf,"Direct: limb behavior, vertical structure, or line-of-sight interpretation.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,efdead1e24016212e73871a5b797c1c1918c5eb9d35bd4e26cb6c0feef7934b2,10,10,79305
VIMSclouds,article,{Titan's cloud seasonal activity from winter to spring with Cassini/VIMS},{Rodriguez,Icarus,2011,10.1016/j.icarus.2011.07.031,doi:10.1016/j.icarus.2011.07.031,https://doi.org/10.1016/j.icarus.2011.07.031,,,not_converted,metadata_only,"Direct: Cassini VIMS instrument, processing, or Titan VIMS result.",Same DOI as Rodriguez2011Clouds.; Metadata from the existing BibTeX entry; local PDF not audited.,,,,
Rodriguez2009Global,article,{Global circulation as the main source of cloud activity on Titan},{Rodriguez,\nat,2009,10.1038/nature08014,doi:10.1038/nature08014,https://doi.org/10.1038/nature08014,,,not_converted,metadata_only,"Context: Titan atmosphere, circulation, clouds, or mission science.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
rodriguez2018observational,article,Observational evidence for active dust storms on Titan at equinox,"{Rodriguez}, S and Le Mou{\'e}lic, S and Barnes, JW and Kok, JF and Rafkin, SCR and Lorenz, RD and Charnay, B and Radebaugh, J and Narteau, C and Cornet, T and others",Nature Geoscience,2018,,project-bibkey:rodriguez2018observational,,,,not_converted,metadata_only,"Context: Titan atmosphere, circulation, clouds, or mission science.",Metadata from the existing BibTeX entry; local PDF not audited.; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,,,,
Brown2010Clouds,article,{Clouds on Titan during the Cassini prime mission: A complete analysis of the VIMS data},"{Brown}, M.~E. and {Roberts}, J.~E. and {Schaller}, E.~L.",Icarus,2010,10.1016/j.icarus.2009.08.024,doi:10.1016/j.icarus.2009.08.024,https://doi.org/10.1016/j.icarus.2009.08.024,,,not_converted,metadata_only,"Direct: Cassini VIMS instrument, processing, or Titan VIMS result.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
Schaller_etal09,article,Storms in the tropics of Titan,E. L Schaller and H. G Roe and T Schneider and M. E Brown,Nature,2009,10.1038/nature08193,doi:10.1038/nature08193,https://doi.org/10.1038/nature08193,,,not_converted,metadata_only,"Context: Titan atmosphere, circulation, clouds, or mission science.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
Griffith2009Characterization,article,{Characterization of Clouds in Titan's Tropical Atmosphere},{Griffith,\apjl,2009,10.1088/0004-637X/702/2/L105,doi:10.1088/0004-637X/702/2/L105,https://doi.org/10.1088/0004-637X/702/2/L105,,,not_converted,metadata_only,"Context: Titan atmosphere, circulation, clouds, or mission science.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
Rodriguez2011Clouds,article,{Titan's cloud seasonal activity from winter to spring with Cassini/VIMS},{Rodriguez,\icarus,2011,10.1016/j.icarus.2011.07.031,doi:10.1016/j.icarus.2011.07.031,https://doi.org/10.1016/j.icarus.2011.07.031,,,not_converted,metadata_only,"Direct: Cassini VIMS instrument, processing, or Titan VIMS result.",Same DOI as VIMSclouds.; Metadata from the existing BibTeX entry; local PDF not audited.,,,,
Turtle2018Titan,article,{Titan's Meteorology Over the Cassini Mission: Evidence for Extensive Subsurface Methane Reservoirs},{Turtle,\grl,2018,10.1029/2018GL078170,doi:10.1029/2018GL078170,https://doi.org/10.1029/2018GL078170,,,not_converted,metadata_only,"Context: Titan atmosphere, circulation, clouds, or mission science.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
west2018seasonal,article,{The seasonal cycle of Titan's detached haze},"{West}, Robert A. and {Seignovert}, Beno{\^\i}t and {Rannou}, Pascal and {Dumont}, Philip and {Turtle}, Elizabeth P. and {Perry}, Jason and {Roy}, Mou and {Ovanessian}, Aida",Nature Astronomy,2018,10.1038/s41550-018-0434-z,doi:10.1038/s41550-018-0434-z,https://doi.org/10.1038/s41550-018-0434-z,data/papers/west2018seasonal.pdf,data/papers-md/west2018seasonal.md,validated,local_pdf,Direct: mission-long seasonal cycle of Titan's detached haze.,Metadata checked against the journal DOI; PDF is the arXiv author manuscript.; Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,f91934a53379cbe033a7922ea96c058728381ed3dc50e89821c9fe1c5a98613f,8,8,60121
1983Icar...55...50R,article,{Vertical distribution of scattering hazes in Titan's upper atmosphere},"{Rages}, K. and {Pollack}, J.~B.",Icarus,1983,10.1016/0019-1035(83)90049-0,doi:10.1016/0019-1035(83)90049-0,https://doi.org/10.1016/0019-1035(83)90049-0,,,not_converted,metadata_only,Direct: Titan haze asymmetry or seasonal change.,Metadata from the existing BibTeX entry; local PDF not audited.,,,,
tribbett2021titan,article,{Titan in Transit: Ultraviolet Stellar Occultation Observations Reveal a Complex Atmospheric Structure},"{Tribbett}, Patrick D. and {Robinson}, Tyler D. and {Koskinen}, Tommi T.",\psj,2021,10.3847/PSJ/abf92d,doi:10.3847/PSJ/abf92d,https://doi.org/10.3847/PSJ/abf92d,,,not_converted,metadata_only,"Direct: limb behavior, vertical structure, or line-of-sight interpretation.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
snell2024titan,article,{Titan's Atmospheric Albedo Asymmetry and Seasonal Variability Observed through the Cassini Imaging Science Subsystem},"{Snell}, C. and {Banfield}, D.",\psj,2024,10.3847/PSJ/ad0bec,doi:10.3847/PSJ/ad0bec,https://doi.org/10.3847/PSJ/ad0bec,data/papers/snell2024titan.pdf,data/papers-md/snell2024titan.md,validated,local_pdf,Direct: Cassini ISS north-south albedo asymmetry and seasonal variability.,Metadata checked against the open-access publisher record; PDF is the publisher version.; Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,582635eaad3c2c61b233b364583f11333243c335152314260e218f3b1a8b2846,10,10,66254
seignovert2017titan,article,{Aerosols optical properties in Titan's detached haze layer before the equinox},"{Seignovert}, Beno{\^\i}t and {Rannou}, Pascal and {Lavvas}, Panayotis and {Cours}, Thibaud and {West}, Robert A.",\icarus,2017,10.1016/j.icarus.2017.03.026,doi:10.1016/j.icarus.2017.03.026,https://doi.org/10.1016/j.icarus.2017.03.026,,,not_converted,metadata_only,Direct: Titan haze asymmetry or seasonal change.,Metadata from the existing BibTeX entry; local PDF not audited.,,,,
koskinen2011mesosphere,article,{The mesosphere and lower thermosphere of Titan revealed by Cassini/UVIS stellar occultations},"{Koskinen}, T.~T. and {Yelle}, R.~V. and {Snowden}, D.~S. and {Lavvas}, P. and {Sandel}, B.~R. and {Capalbo}, F.~J. and {Benilan}, Y. and {West}, R.~A.",\icarus,2011,10.1016/j.icarus.2011.09.022,doi:10.1016/j.icarus.2011.09.022,https://doi.org/10.1016/j.icarus.2011.09.022,,,not_converted,metadata_only,"Direct: limb behavior, vertical structure, or line-of-sight interpretation.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
maltagliati2015titan,article,{{Titan's atmosphere as observed by Cassini/VIMS solar occultations: CH$_{4}$,{Maltagliati,\icarus,2015,10.1016/j.icarus.2014.10.004,doi:10.1016/j.icarus.2014.10.004,https://doi.org/10.1016/j.icarus.2014.10.004,,,not_converted,metadata_only,"Direct: Cassini VIMS instrument, processing, or Titan VIMS result.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
bellucci2009titan,article,{Titan solar occultation observed by Cassini/VIMS: Gas absorption and constraints on aerosol composition},"{Bellucci}, A. and {Sicardy}, B. and {Drossart}, P. and {Rannou}, P. and {Nicholson}, P.~D. and {Hedman}, M. and {Baines}, K.~H. and {Burrati}, B.",\icarus,2009,10.1016/j.icarus.2008.12.024,doi:10.1016/j.icarus.2008.12.024,https://doi.org/10.1016/j.icarus.2008.12.024,,,not_converted,metadata_only,"Direct: Cassini VIMS instrument, processing, or Titan VIMS result.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
2010Icar..207..485D,article,{A tropical haze band in Titan{\textquoteright}s stratosphere},{de Kok,\icarus,2010,10.1016/j.icarus.2009.10.021,doi:10.1016/j.icarus.2009.10.021,https://doi.org/10.1016/j.icarus.2009.10.021,,,not_converted,metadata_only,Direct: Titan haze asymmetry or seasonal change.,Same DOI as dekok2010titan.; Metadata from the existing BibTeX entry; local PDF not audited.,,,,
rannnou2022analysis,article,{{Analysis of four solar occultations by Titan's atmosphere with the infrared channel of the VIMS instrument: Haze,"{Rannou}, P. and {Coutelier}, M. and {Rey}, M. and {Vinatier}, S.",\aap,2022,10.1051/0004-6361/202243045,doi:10.1051/0004-6361/202243045,https://doi.org/10.1051/0004-6361/202243045,,,not_converted,metadata_only,"Direct: Cassini VIMS instrument, processing, or Titan VIMS result.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
2017Icar..290..134A,article,{Observations of the global haze redistribution on Titan from 2006 to 2015 with OSIRIS at Keck},{{\'A}d{\'a}mkovics,\icarus,2017,10.1016/j.icarus.2017.02.015,doi:10.1016/j.icarus.2017.02.015,https://doi.org/10.1016/j.icarus.2017.02.015,,,not_converted,metadata_only,Direct: Titan haze asymmetry or seasonal change.,Same DOI as adámkovics2017titan.; Metadata from the existing BibTeX entry; local PDF not audited.,,,,
porco2005titan,article,{Imaging of Titan from the Cassini spacecraft},"{Porco}, Carolyn C. and {Baker}, Emily and {Barbara}, John and {Beurle}, Kevin and {Brahic}, Andre and {Burns}, Joseph A. and {Charnoz}, Sebastien and {Cooper}, Nick and {Dawson}, Douglas D. and {Del Genio}, Anthony D. and {Denk}, Tilmann and {Dones}, Luke and {Dyudina}, Ulyana and {Evans}, Michael W. and {Fussner}, Stephanie and {Giese}, Bernd and {Grazier}, Kevin and {Helfenstein}, Paul and {Ingersoll}, Andrew P. and {Jacobson}, Robert A. and {Johnson}, Torrence V. and {McEwen}, Alfred and {Murray}, Carl D. and {Neukum}, Gerhard and {Owen}, William M. and {Perry}, Jason and {Roatsch}, Thomas and {Spitale}, Joseph and {Squyres}, Steven and {Thomas}, Peter and {Tiscareno}, Matthew and {Turtle}, Elizabeth P. and {Vasavada}, Ashwin R. and {Veverka}, Joseph and {Wagner}, Roland and {West}, Robert",\nat,2005,10.1038/nature03436,doi:10.1038/nature03436,https://doi.org/10.1038/nature03436,,,not_converted,metadata_only,"Context: Titan atmosphere, circulation, clouds, or mission science.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
adámkovics2017titan,article,{Observations of the global haze redistribution on Titan from 2006 to 2015 with OSIRIS at Keck},{{\'A}d{\'a}mkovics,\icarus,2017,10.1016/j.icarus.2017.02.015,doi:10.1016/j.icarus.2017.02.015,https://doi.org/10.1016/j.icarus.2017.02.015,,,not_converted,metadata_only,Direct: Titan haze asymmetry or seasonal change.,Same DOI as 2017Icar..290..134A.; Metadata from the existing BibTeX entry; local PDF not audited.,,,,
Ádámkovics2006Titan,article,Titan's bright spots: Multiband spectroscopic measurement of surface diversity and hazes,"Ádámkovics, M. and de Pater, I. and Hartung, M. and Eisenhauer, F. and Genzel, R. and Griffith, C. A.",Journal of Geophysical Research: Planets,2006,10.1029/2005JE002610,doi:10.1029/2005JE002610,https://doi.org/10.1029/2005JE002610,,,not_converted,metadata_only,Direct: Titan haze asymmetry or seasonal change.,Metadata from the existing BibTeX entry; local PDF not audited.,,,,
Tomasko2005Titan,article,"{Rain, winds and haze during the Huygens probe's descent to Titan's surface}",{Tomasko,\nat,2005,10.1038/nature04126,doi:10.1038/nature04126,https://doi.org/10.1038/nature04126,,,not_converted,metadata_only,Direct: Titan haze asymmetry or seasonal change.,Same work as tomasko2005rain; this entry has the DOI.; Metadata from the existing BibTeX entry; local PDF not audited.,,,,
gibbard2004titan,article,{Titan's 2 {\ensuremath{\mu}}m surface albedo and haze optical depth in 1996-2004},"{Gibbard}, S.~G. and {de Pater}, I. and {Macintosh}, B.~A. and {Roe}, H.~G. and {Max}, C.~E. and {Young}, E.~F. and {McKay}, C.~P.",\grl,2004,10.1029/2004GL019803,doi:10.1029/2004GL019803,https://doi.org/10.1029/2004GL019803,,,not_converted,metadata_only,Direct: Titan haze asymmetry or seasonal change.,Metadata from the existing BibTeX entry; local PDF not audited.,,,,
dekok2010titan,article,{A tropical haze band in Titan{\textquoteright}s stratosphere},{de Kok,\icarus,2010,10.1016/j.icarus.2009.10.021,doi:10.1016/j.icarus.2009.10.021,https://doi.org/10.1016/j.icarus.2009.10.021,,,not_converted,metadata_only,Direct: Titan haze asymmetry or seasonal change.,Same DOI as 2010Icar..207..485D.; Metadata from the existing BibTeX entry; local PDF not audited.,,,,
rannou2010titan,article,{Titan haze distribution and optical properties retrieved from recent observations},{Rannou,\icarus,2010,10.1016/j.icarus.2010.03.016,doi:10.1016/j.icarus.2010.03.016,https://doi.org/10.1016/j.icarus.2010.03.016,,,not_converted,metadata_only,Direct: Titan haze asymmetry or seasonal change.,Metadata from the existing BibTeX entry; local PDF not audited.,,,,
lavvas2009titan,article,{The detached haze layer in Titan's mesosphere},"{Lavvas}, Panayotis and {Yelle}, Roger V. and {Vuitton}, V{\'e}ronique",\icarus,2009,10.1016/j.icarus.2009.01.004,doi:10.1016/j.icarus.2009.01.004,https://doi.org/10.1016/j.icarus.2009.01.004,,,not_converted,metadata_only,Direct: Titan haze asymmetry or seasonal change.,Metadata from the existing BibTeX entry; local PDF not audited.,,,,
sotin2016characteristics,inproceedings,{Characteristics of Titan's haze derived from solar occultation observations in the infrared},"{Sotin}, Christophe and {Lawrence}, Kenneth J. and {Marmuse}, Florian and {Xu}, Feng and {West}, Robert and {Brown}, Robert H. and {Baines}, Kevin and {Buratti}, Bonnie J. and {Clark}, Roger Nelson and {Nicholson}, Philip D.",AAS/Division for Planetary Sciences Meeting Abstracts \#48,2016,,https://ui.adsabs.harvard.edu/abs/2016DPS....4851508S,https://ui.adsabs.harvard.edu/abs/2016DPS....4851508S,,,not_converted,metadata_only,"Direct: limb behavior, vertical structure, or line-of-sight interpretation.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
kim2013spectral,article,{Spectral characteristics of the Titanian haze at 1-5 micron from Cassini/VIMS solar occultation data},"{Kim}, Sang J. and {Courtin}, R{\'e}gis",\aap,2013,10.1051/0004-6361/201322173,doi:10.1051/0004-6361/201322173,https://doi.org/10.1051/0004-6361/201322173,,,not_converted,metadata_only,"Direct: Cassini VIMS instrument, processing, or Titan VIMS result.",Metadata from the existing BibTeX entry; local PDF not audited.,,,,
clark2018vims,techreport,"The VIMS Wavelength and Radiometric Calibration 19, Final Report","Clark, Roger N. and Brown, Robert H. and Lytle, Dyer M. and Hedman, Matthew M.","NASA Planetary Data System, Planetary Atmospheres Node",2018,10.17189/1504137,doi:10.17189/1504137,https://doi.org/10.17189/1504137,data/papers/clark2018vims.pdf,data/papers-md/clark2018vims.md,validated,local_pdf,Direct: final VIMS wavelength and radiometric calibration and known limits.,Metadata checked against the NASA PDS record; PDF downloaded from the PDS record.; Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,19883c0b24bb0bf711d012dc0afa9652716cf24b0aa865cd0b6cec51cb0e7e22,30,30,38114
lemouelic2019archive,article,The Cassini VIMS archive of Titan: From browse products to global infrared color maps,"Le Mou{\'e}lic, St{\'e}phane and Cornet, Thomas and Rodriguez, S{\'e}bastien and Sotin, Christophe and Seignovert, Beno{\^\i}t and Barnes, Jason W. and Brown, Robert H. and Baines, Kevin H. and Buratti, Bonnie J. and Clark, Roger N. and Nicholson, Philip D. and Lasue, J{\'e}r{\'e}mie and Pasek, Virginia D. and Soderblom, Jason M.",Icarus,2019,10.1016/j.icarus.2018.09.017,doi:10.1016/j.icarus.2018.09.017,https://doi.org/10.1016/j.icarus.2018.09.017,data/papers/lemouelic2019archive.pdf,data/papers-md/lemouelic2019archive.md,validated,local_pdf,"Direct: complete Titan VIMS archive, calibration, geometry, and image processing.",Metadata checked against the journal DOI and university records; PDF is the arXiv author manuscript.; Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,eeb7017a55846c466a75cc07c8f62805ca7cf7cb4d4abd6d861df4fdc66e01bd,13,13,67616
cooper2025forward,article,Extreme Forward Scattering Observed in Disk-Averaged Near-Infrared Phase Curves of Titan,"Cooper, Chase A. and Robinson, Tyler D. and Barnes, Jason W. and Mayorga, L. C. and Robinthal, Lily",The Planetary Science Journal,2025,10.3847/PSJ/ae071f,doi:10.3847/PSJ/ae071f,https://doi.org/10.3847/PSJ/ae071f,data/papers/cooper2025forward.pdf,data/papers-md/cooper2025forward.md,validated,local_pdf,Direct: full-disk VIMS processing and haze-scattering effects across phase angle.,Journal facts checked against the publisher record; PDF is the arXiv author manuscript.; Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,0090a3ecc4e11a09bc89f04c6a2d153ba25425c17d045a116143f1e9c98acc5d,13,13,67270
nixon2025jwst,article,The Atmosphere of Titan in Late Northern Summer from JWST and Keck Observations,"Nixon, Conor A. and B{\'e}zard, Bruno and Cornet, Thomas and Coy, Brandon Park and de Pater, Imke and Es-Sayeh, Ma{\""e}l and Hammel, Heidi B. and Lellouch, Emmanuel and Lombardo, Nicholas A. and L{\'o}pez-Puertas, Manuel and Lora, Juan M. and Rannou, Pascal and Rodriguez, S{\'e}bastien and Teanby, Nicholas A. and Turtle, Elizabeth P. and Achterberg, Richard K. and Alvarez, Carlos and Davies, Ashley G. and de Kleer, Katherine and Doppmann, Greg and Fletcher, Leigh N. and Hayes, Alexander G. and Holler, Bryan J. and Irwin, Patrick G. J. and Jordan, Carolyn and King, Oliver R. T. and Kutsop, Nicholas W. and Marlin, Theresa C. and Melin, Henrik and Milam, Stefanie N. and Molter, Edward M. and Moore, Luke and Nyffenegger-P{\'e}r{\'e}, Yaniss and O'Donoghue, James and O'Meara, John and Rafkin, Scot C. R. and Roman, Michael T. and Rostopchina, Arina and Rowe-Gurney, Naomi and Schmidt, Carl and Schmidt, Judy and Sotin, Christophe and Stallard, Tom S. and Stansberry, John A. and West, Robert A.",Nature Astronomy,2025,10.1038/s41550-025-02537-3,doi:10.1038/s41550-025-02537-3,https://doi.org/10.1038/s41550-025-02537-3,data/papers/nixon2025jwst.pdf,data/papers-md/nixon2025jwst.md,validated,local_pdf,Direct context: post-Cassini northern-summer atmosphere and altitude-sensitive imaging.,Journal facts checked against the publisher record; PDF is the arXiv author manuscript.; Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,0a7ac6ac51b35cf836d294a8e4be97979d75aaa0a4453384adf83b442ddf7384,41,41,103018
